[2026-05-15 05:28:07] USER:8734521592 | dime si puedes ver este sms
[2026-05-15 07:05:59] USER:8734521592 | , veo q a los gremios no se le pueden subir el nivel ni tienen límite de miembros ni límite de espacio en el baúl, añade todas estas funciones a los gremios , y a mi como admin anademe todos los comandos q yo tenga q tener para editar todos los valores de los gremios también como yo poder editar el límite de jugadores por nivel etc, añade todos mis comandos nuevos a mi panel admin en el apartado de gremios y si no existe ese apartado crea uno
[2026-05-15 07:11:14] USER:8734521592 | crea un sistema de rankings q diga los jugadores con mas monstruos matados esta semana, los jugadores q mas an matado a otros jugadores, los jugadores q mas daño an causado en la guerra , los jugadores q mas logros tienen , ranking de gremios según pelea de gremios , ranking de alianza según pelea de alianza, ranking de daño( en este los jugadores podrán elegir si participar o no) Este sistema solo sera accesible en las ciudades y tendrá todos sus comandos y botones respectivos , aparecerá en el menú desplegable solo en la ciudad , has todos los interfaz de los ranking bonitos y agradables a la vista ok y anade comandos para mi para yo editar todo lo q sea evitable y anadelos en un nuevo apartado en mi panel admin
[2026-05-15 07:18:38] USER:8734521592 | tienes el bot quitado o que? Por q ningun boton del menú desplegable me responde
[2026-05-15 07:20:30] USER:8734521592 | parece q se buguearon todos los botones del menú desplegable por q ninguno sirve y no sd actualiza según la zona el menú desplegable
[2026-05-15 07:29:42] USER:8734521592 | en el sistema de guerras de alianzas el jugador solo ataca o defiende una vez y ya no puede hacer mas nada ni ve los resultados hasta el fin de la guerra total , la guerra en su modo automático dura 10 minutos y solo ocurre una vez al dia , el player solo tiene disponibles los botones de atacar o defender en guerra una vez q la inscripción a la guerra inicie,con un mensaje de lore q le llegara y le dirá q la guerra comenzó y en ese mensaje q le llegue le llegarán botones de atacar o defender , solo en ese momento todos los botones del menú desplegable cambiaran y solo saldrán los botones de la respectivos de la guerra , atacar x facción , defender facción y saltarse la guerra serán los únicos disponibles en ese momento, los jugadores q se salten la guerra no podrán viajar ni hacer nada , solo ver las cosas de su inventario y perfil y ver la guia , cuando la guerra acabe todo volverá a la normalidad y podrán yacer todas sus cosas de nuevo y el menú desplegable volverá a tener los botones q tenían antes y los de la guerra desaparecerán no podrá usar esos botones a voluntad cuando el quiera. El bot calculara todos los ataques y defensas una sola vez y después es q dara el veredicto final y las pocicion en q quedo cada facción. Añade comandos y botones en el menú de admin mio para yo poder editar todo esto a voluntad,
[2026-05-15 07:31:47] USER:8734521592 | ninguno de los botones del menú despleganles sirve , revisa sl menú desplegable por completo y todos sus botones y revisa q se acrualize bien y cambie todos los botones disponibles en cada zona q ninguna zona muestre un boton q no tenga q mostrar . Estos errores ocurrieron después q metiste el sistema de ranking solo disponible en la ciudad , cundo hiciste eso el menú desplegable se jodio
[2026-05-15 07:33:27] USER:8734521592 | a ninguno de los jugadores debe salirle ninguno de los comandos de los admin en el menú desplegable de comandos q esta en telegram a la izquierda de donde se escribe ok , si algun comando de los admin les salía a los jugadores quita para q no les salgan
[2026-05-15 07:37:36] USER:8734521592 | añade q yo como superadmin puedo elegir exactamente q comandos de admin quiero q otro admin use , asi podre elegir solo uno solo si quiero y no tendré q darle toda una sección, si le doy solo uno q solo sea visible para el la sección de ese comando en su panel admin y no las demás, si le doy solo 2 de diferentes secciones solo le saldrán esas 2 secciones en su panel admin ok
[2026-05-15 07:40:29] USER:8734521592 | ninguno de los botones del menú despleganles sirve , revisa sl menú desplegable por completo y todos sus botones y revisa q se acrualize bien y cambie todos los botones disponibles en cada zona q ninguna zona muestre un boton q no tenga q mostrar . Estos errores ocurrieron después q metiste el sistema de ranking solo disponible en la ciudad , cundo hiciste eso el menú desplegable se jodio
[2026-05-15 07:45:26] USER:8734521592 | anade q en el menú desplegable de comandos q tienen los jugadores a la izquierda de donde escriben salgan todos los comandos posibles para los jugadores, Añade lo mismo para mi como admin añadiendo ahi todos mis comandos de admin, a los admin que yo añada también añádele ahi en ese menú de comandos sus comandos de admin , los que yo le otorgue , ozea a cada jugador asmin o yo, añádele todos los comandos usables para ellos , si le quito algun comando a un admin se le quitara de ahi también
[2026-05-15 07:46:23] USER:8734521592 | , actualiza la guia añadiendo todos los cambios q hemos hecho sin mencionar nunca la existencia de admins , nunca nombres ningun comando de admin ni nombres a lis admins nunca ok
[2026-05-15 07:49:43] USER:8734521592 | el menú desplegable sigue inservible
[2026-05-15 08:23:40] USER:8734521592 | el menú desplegable sigue inservible
[2026-05-15 08:23:58] USER:8734521592 | Quiero añadir este sistema a mi juego con todos sus comandos y botones jugarles para los jugadores y todos mis botones y comandos para yo editar el super evento en mi panel admin ok 1. 🌌 El Umbral del Vacío Premisa: El mundo está siendo invadido lentamente por el "Vacío". Hay un contador de corrupción que aumenta cada día (automáticamente). Los jugadores pueden reducir la corrupción, matando monstruos en el mundo , o purificando zonas. Si la corrupción llega al 100%, ocurre una "Noche del Vacío": todos los monstruos se vuelven más fuertes, los recursos escasean, los precios en la tienda se vuelven mas caros ,apareceran monstruos de forma automática parecidos a mis jefes de zona, cada uno de estos monstruos tendrá un sistema en el q pedirá por ejemplo 10 jugadores para pelear contra el , y hará 3 llamados q seran 3 mensajes de telegram a los jugadores , si en los 3 llamados no se encuentran los 10 jugadores q peleen contra el será como q el monstruo destruyó todo a su paso y aumentará 1 dia de escaces global por lo q los precios en las tiendas y la escaces de recursos no bajara , no se podra usar la subasta ni el p2p ni la bolsa de valores en ese tiempo de escasez Aparecerán 3 monstruos de estos q te hablo q serán muy fuertes , uno para cada faccion es decir q cada jugador solo puede atacar al monstruo correspondiente de su facción ozea q a cada jugador solo le llegara la notificación correspondiente a su monstruo Si no logran matar a los 3 monstruos ( el segundo monstruo solo sale cuando el primero halla muerto, y el tercero solo sale cuando el segundo halla muerto) aparece un jefe invencible que solo puede ser repelido con el esfuerzo de toda la comunidad. ( ozea todos los jugadores del juego tendrán q atacarlo. Yo definire los tiempos q durará la pelea contra cada monstruo y contra el jefe , los jugadores solo pueden atacar 3 veces , yo decidiré el tiempo q dure cada ronda , , en el tiempo de una ronda y q aun no halla iniciado la otra los jugadores podrán tomar pociones o intercambiar su armamento etc, Los monstruos atacarán masivamente a un numero aleatorio se jugadores y mataran de 3 rondas a todo aquel q no halla tomado pociones de vida El jefe atacara igual masivo y aleatorio pero a mas cantidad de jugadores y matará de 2 veces a todo aquel q no halla tomado pociones de vida Todos estos tiempos de rondas y números aleatorios , numero de monstruos por facción numero de jefes finales, a cuantos jugadores atacara cada monstruo automáticamente yo podre editarlo en mi menú de super admin asi a crea un apartado exclusivamente para esta nueva jugabulidad de UMBRAL DE VACÍO. El futuro que nunca llega: Los jugadores luchan para mantener la corrupción baja, pero eventualmente (quizá cada mes) inevitablemente llega al 100% y ocurre la crisis. Luego se reinicia el ciclo. Mecánica: · Un contador global visible con /corrupcion. · Los jugadores pueden ver cuánto falta para la "Noche del Vacío". Podrán donar sus recursos para atrazar la noche de vacío ya sea armas armaduras etc · Durante la crisis, hay recompensas especiales para los que más ayudaron. • cuando la corrupción esta en 80 porciento le saldrá un boton especial a todos los jugadores con el sistema completo de la jugabilidad del Umbral de vacío, ahi podrán ver todas las mecanicad de este nuevo modo de juego etc. Tendrán comandos y botones solo dentro de ese boton de humbral de vacío Antes de q la corrupción llegue a 80% solo podrán ver el porciento actual de la corrupción y tambien podrán tener comandos y botones siempre en su ciudad para aportar recursos o objetos en una caldera del ritual, mientras mas cosas aporten mas bajará la corrupción ( obvio yo podre editar la rapidez con a sube la corrupción por dia y podre bajar el porciento de corrupción si me da la gana en mi menú admin ) Tendré en mi menú admin la posibilidad de que elegir si todo este evento ocurre de forma automática o si yo lo imboco cuando quiero., así como desactivar o activar el modo automático
[2026-05-15 17:03:41] USER:8734521592 | ningun boton del menú desplegable sirve
[2026-05-15 17:17:55] USER:8734521592 | ninguno de los botones del menú desplegable funciona aun
[2026-05-15 17:40:57] USER:8734521592 | en mi panel de humbral de vacío pon a todos mis botones y comandos deben tener una respuesta asi sabré si estan funcionando o no
[2026-05-15 17:45:21] USER:8734521592 | añade un comando en mi menú de admin de ranking para hacer q el contador de rankins se reinicie solo al mes o a la semana o cuando yo quiera o q no se reinicie solo
[2026-05-15 17:46:43] USER:8734521592 | , en el menú desplegable de la ciudad debe aparecer el boton respectivo para q los jugadores donen cosas para atrasar la noche de vacío
[2026-05-15 17:50:32] USER:8734521592 | la noche de vacío, cada monstruo q los jugadores no puedan matar aumentará un dia a la escaces , y el jefe final si no lo pueden matar aumentará 2 dias , todos estos dias por monstruo los podre editar yo en mi panel admin asi q añade comandos , tambien quiero editar todo con respecto a esos monstruos y al jefe final, originalmente pon q ellos tienen q calcular la vida de sus contrincantes y calcular sus propios start en base a sus contrincantes pero pon q yo también pueda editar todos los stats de los monstruos a voluntad, tambien quiero editar tiempo entre rondas, tiempo de rondas , todo
[2026-05-15 17:54:46] USER:8734521592 | en la noche de vacío si los jugadores matan a los 3 monstruos primeros ya no saldrá el jefe final, pero eso lo decidiré yo si sale o no , tendré la posibilidad de editar la noche de vacío completamente a voluntad antes de poner todo el sistema en modo automático, cuando yo active el modo automático se activará con todas mis modificaciones actuales asi q prepara un panel bien profesional para eso con botones adentro de botones etc Arregla todos mis otros sistemas de combate o pelea para yo tambien poder editarlos asi antes de activar su modo automático y una vez yo lo active se activará con los cambios actuales q yo hice , también ponme botones en cada uno de mis paneles de edición para cancelar la activación automática, cancelar el evento andando, todo
[2026-05-15 18:01:59] USER:8734521592 | una vez terminado cada evento ya sea la guerra de facciones como la guerra de gremios o los combates contra jefes de zona o el humbral de vacío, a mi como admin me llegara la notificación de q el evento a terminado y me saldrá el nombre de todos los jugadores participantes con botones para yo entrar al boton de cada jugador y elegir ahi el premio q quiero para ese jugador , tendré un buscador de premios que buscará premios entre mis objetos del juego al azar. Podre decidir si darles oro o ethernium a cada jugador y que cantidades , tambien habrá un modo colectivo en el que podré elegir dar los premios colectivamente , de 5 en 5 jugadores o de 10 en 10( podre editar ese numero a voluntad) y ahi el buscador de premios buscara premios al azar para cada uno de los jugadores pero al mismo tiempo) también habrá un sistema en que todo esto es automático y los premios se entregan solos, pero ese sistema automático debe estar separado , ozea q podre poner q los premios de la guerra de facciones se den de forma automática o darlos yo manual, al mismo tiempo podre dar los premios de los jefes de zona manual y al mismo tiempo los premios de guerra de facciones se dan automáticos , debo tener botones también en cada pa el automático para elegir q tipo de premios se deben dar automáticamente, de que origen , clase, nivel etc. Todo esto debe estar en mi panel admin asi q debes añadir todo, ya yo tengo un sistema parecido a este pero con menos cosas , añade todo esto y q sea muy completo
[2026-05-15 18:03:13] USER:8734521592 | estoy en la ciudad y en el menú desplegable no me sale ni el boton de los ranking ni el boton para donar a la olla ritual para atrazar la noche de vacío
[2026-05-15 18:04:28] USER:8734521592 | una vez terminado cada evento ya sea la guerra de facciones como la guerra de gremios o los combates contra jefes de zona o el humbral de vacío, a mi como admin me llegara la notificación de q el evento a terminado y me saldrá el nombre de todos los jugadores participantes con botones para yo entrar al boton de cada jugador y elegir ahi el premio q quiero para ese jugador , tendré un buscador de premios que buscará premios entre mis objetos del juego al azar. Podre decidir si darles oro o ethernium a cada jugador y que cantidades , tambien habrá un modo colectivo en el que podré elegir dar los premios colectivamente , de 5 en 5 jugadores o de 10 en 10( podre editar ese numero a voluntad) y ahi el buscador de premios buscara premios al azar para cada uno de los jugadores pero al mismo tiempo) también habrá un sistema en que todo esto es automático y los premios se entregan solos, pero ese sistema automático debe estar separado , ozea q podre poner q los premios de la guerra de facciones se den de forma automática o darlos yo manual, al mismo tiempo podre dar los premios de los jefes de zona manual y al mismo tiempo los premios de guerra de facciones se dan automáticos , debo tener botones también en cada pa el automático para elegir q tipo de premios se deben dar automáticamente, de que origen , clase, nivel etc. Todo esto debe estar en mi panel admin asi q debes añadir todo, ya yo tengo un sistema parecido a este pero con menos cosas , añade todo esto y q sea muy completo
[2026-05-15 18:06:23] USER:8734521592 | al parecer algo con la guerra se quedó pegado por q quiero viajar y me dice q estamos en guerra, y no estamos en guerra, además cuando la guerra esta andando el menú desplegable debe cambiar según las especificaciones q ya yo te di, nunca se implementó nada de eso por q no veo los botones de atacar en guerra por ningún lado
[2026-05-15 18:08:22] USER:8734521592 | ninguno de los comandos q estan adentro de mi editor (sa) funcionan
[2026-05-15 19:30:46] USER:8734521592 | el menú desplegable no se actualiza según la zona en la q estoy , debe actualizarse y mostrar las cosas de la zona salvaje cuando yo este en la zona salvaje, y las cosas de la ciudad cuando yo este en la ciudad , y mostrar solo las cosas de la guerra cuando inicie la guerra de facciones , todo lo q ya te dije antes ok ese panel debe rastrear la ubicación o si la guerra esta activa para actualizarse y poner los botones correspondientes.
[2026-05-15 20:10:50] USER:8734521592 | el menú desplegable se actualiza depsues de q uso alguna función de zona , debería actualizarse apenas el jugador viaja y termina el tiempo requerido , ozea apenas q llega el mensaje de bienvenida a la otra zona el menú desplegable debe actualizarse /reporte Añade un modo para mi como admin de "detector de bugs" en este modo podre hacer lo q sea al instante , podre viajar sin q me cueste y tiempo, podre cazar recolectar sin q me gaste satamina , podre hacer todo y no me regire por ninguno de las reglas del juego, podre usar cada comando y cada acción disponible en el juego, ozea q podre editar mi gremio sin tener gremio, podre atacar a un jefe de zona sin q este activo, podre atacar a los monstruos de la noche del Vacío sin q ese evento este activo. Podre usar absolutamente todas las funcionalidades del juego sin importar si algo no este activo o si no tengo suficiente dinero para comprar algo , y cada funcionalidad deberá responder normalmente como responden normalmente dentro del juego, si noto q una no me responde o da error te mandare un reporte de esa funcionalidad detallado y iras a arreglarlo Este modo tendrá un panel parecido a mi panel admin , no entrara en mi panel admin sino q sera otro super panel admin aparte de mi panel admin , en este nuevo panel tendré casillas para marcar como correctos los botones y comandos y funcionalidades q funcionen bien y como incorrectos los q funcionen mal. Asi sabré que comandos y botones probé ya para no repetir, no todo estará junto , todo estará separado y bien organizado , si marco algun comando con la marca de error se generará un reporte automático para ti de ese boton o comando q no sirve y te dirá exactamente cual comando es y cuantos botones o comandos anteriores a el hay q presionar para llegar a el, liego yo presionare cualquier tecla en tu ventana y ya sabrás q comando o boton es el q esta dando problema exactamente y lo arreglaras y me dirás el reporte en telegram si lo lograste arreglar,, ojo ten em cuenta q yo podre atacar a un jugador y se iniciará el ataque contra un jugador falso, atacare en la guerra y me deben llegar los resultados de la guerra, y asi con todos los tipos de combate , eventos batallas etc, ahi debe salir en ese nuevo panel absolutamente todos los botones y comandos del juego con sus funciones todo bien para yo poder detectar bugs ,, cuando yo te mande el reporte de q un boton o comando o función no sirve mediante marcarlo con su boton correspondiente de error , deberán buscar la funcionalidad de ese boton o comando o funcionalidad y mirar y buscar el mismo error dento del juego para ver si en el juego funciona o no , ozea no quiero q funcionen en mi nuevo panel y a la hora de presionarlos jugando en el juego se queden sin funcionar ok
[2026-05-15 20:32:32] USER:8734521592 | , el menú desplegable aun no se actualiza cuando llego a una zona nueva , lo hace solo después de q utilizo un nuevo boton en esa zona como por ejemplo perfil, debe actualizarse apenas yo llegue a la zona nueva
[2026-05-15 20:37:15] USER:8734521592 | , el menú desplegable aun no se actualiza cuando llego a una zona nueva , lo hace solo después de q utilizo un nuevo boton en esa zona como por ejemplo perfil, debe actualizarse apenas yo llegue a la zona nueva
[2026-05-15 20:47:17] USER:8734521592 | el menú desplegable aun no se actualiza cuando cambio de zona
[2026-05-15 20:47:52] USER:8734521592 | el menú desplegable se actualiza si, pero cuando pincho otro boton, no cuando viajo y cambio de zona
[2026-05-15 20:49:40] USER:8734521592 | en el menú desplegable debe salir mi nuevo boton de detector de bugs cob todas las funcionalidades adentro y no sale nada
[2026-05-15 20:51:40] USER:8734521592 | el comando. /umbral_donar. Da este error ⚠️ Ocurrió un error inesperado. Por favor vuelve a intentarlo.
[2026-05-15 20:55:13] USER:8734521592 | en el menú desplegable debe salir mi nuevo boton de detector de bugs cob todas las funcionalidades adentro y no sale nada
[2026-05-15 20:55:21] USER:8734521592 | el comando. /umbral_donar. Da este error ⚠️ Ocurrió un error inesperado. Por favor vuelve a intentarlo.
[2026-05-15 20:58:23] USER:8734521592 | el menú desplegable no se actualiza cuando cambio de una ciudad a una zona salvaje, solo lo hace cuando toco un boton o comando ya estando dn la nueva zona
[2026-05-15 21:00:39] USER:8734521592 | mi panel debug no sale en el menú desplegable al lado de mi boton de admin ahi debe salir
[2026-05-15 21:03:31] USER:8734521592 | el panel desplegable no se actualiza cuando cambio de zona , solo se actualiza cuando activo un boton o comando en esa nueva zona , el panel desplegable debe actualizarse solo apenas mi jugador pase de estar en la ciudad a una zona salvaje y viceversa
[2026-05-15 21:04:32] USER:8734521592 | el comando /panel_debug si sirve pero el boton debug en mi menú desplegable no funciona , no responde
[2026-05-15 21:09:20] USER:8734521592 | el menú desplegable aun no se actualiza apenas un jugador cambia de zona salvaje a ciudad ni viceversa, solo lo hace después q un jugador toque algun comando o boton dn la nueva zona
[2026-05-15 21:13:44] USER:8734521592 | adentro del modo debug debes añadir otra categoria donde estén todos los conandos y botones existentes en el juego. Y los pulsare desde ahi y harán su función sin importar en la zona q yo este ni nada , y desde ahi tambien te podre mandar los reportes de error , ahi deben estar tantos todos los comandos como todos los botones del juego ok , los ire pulsando uno a uno y te mandare reportes individuales de cada boton o comando , si uno falla u sigue fallando seguiremos arreglando ese comando o boton hasta q ya no falle, pero añade tooooodo ahi y déjame usarlos desde ahi , todos los comandos y botones tanto de jugador vomo de superadmin, admin, modo dios, etc, todo lo q exista en el juego ponlo ahi
[2026-05-15 21:17:21] USER:8734521592 | hay botones en la guia y apartados en la guía q no sirven, por ejemplo el boton siguiente no sirve y el boton tipos de combate no sirve
[2026-05-15 21:19:55] USER:8734521592 | actualiza la guia con todo lo nuevo del juego, quita toda presencia de admins de la guia tanto comandos de admin ni nombres funciones q hacen los admins en la guia, todo debe ser lore y explicaciones de mecanicas del juego. Actualiza la guía emergente para q este a la par con todas las mecanicas nuevas del juego ya sabes q cada ves q el jugador hace algo la guia emergente aparece y le dice al jugador lo q acaba de hacer y cuáles son las opciones q tiene ,
[2026-05-15 21:22:45] USER:8734521592 | Revisa q en el menú desplegable de comandos q aparece al lado izquierdo de donde uno escribe aqui en telegram , a los jugadores no les falte ningun comando pero q no puedan ver ningun comando de admin , a los admin q yo nombro solo les deben salir los comandos de los jugadores mas los comandos de admin q yo le otorgue, mas ninguno, y a mi como superadmin deben salirme ahi todos los comandos existentes en el juego organizándos
[2026-05-15 21:27:06] USER:8734521592 | en mi lanzador de comandos solo añadiste unos pocos botones , ahi debes añadir todos los comandos del juego, en textos , yo los copiaré y los pegaré en mi teclado y los ire enviando uno a uno ok , y tambien debes añadir todos los botones pulsar les del juego, no importa si uno esta adentro de otro añadelo ahi tambien, añade todo organizado por categorías ok y cada cosa con su boton respectivo para mandarte un reporte automático de si un comando falló, si yo toco ese boton de cada comando se te mandara un reporte a ti inmediatamente indicando q ese. Boton o comando falló, pero asegúrate de poner ahi todos los botones y comandos existentes en el juegoooo
[2026-05-15 21:28:47] USER:8734521592 | , en la ciudad hay un boton q se llama comandos q al pulsar lo pone todos los comandos usables por los jugadores, actualiza esa lista ya q hemos añadido mas comandos usables para los jugadores z ten en cuenta q no debes poner ningun comando de admins ahi
[2026-05-15 22:18:26] USER:8734521592 | los comandos q estan en el texto cuando toco Editor Maestro (SA) en mi panel admin ninguno sirve
[2026-05-15 22:20:44] USER:8734521592 | revisa comando por comando y boton por boton dentro del juego y mira si todo esta bien implementado dn el main, pueba todo a ver si cada boton y comando existente en el juego sirve
[2026-05-15 22:30:45] USER:8734521592 | adentro del boton donar al ritual de la ciudad nungum boton sirve , adentro del boton membresía ningun boton sirve
[2026-05-15 22:37:52] USER:8734521592 | a los jugadores normales adentro de la membresía les sale un boton q dice si la aprobación de membresía es automática o no, ninguna jugador normal puede ver ese boton ok, solo yo como super admin , y otra cosa al intentar pagar la membresía el boton para pagar con créditos de vacío no respondió
[2026-05-15 22:53:37] USER:8734521592 | en el cofre personal de los jugadores pon q puedan añadir sus cosas con clasificaciones , pon botones para armas , armaduras etc, y q el cofre tenga todo separado adentro y no este todo junto , tambien pon un modo de inspección donde podrán ver los stats y descripciones de cada objeto q tengan alla adentro A los jugadores q tengan la membresía activa de recolección automática o la membresía total debe salirle el boton de recolección automática en cualquier zona salvaje q se encuentren , adentro de ese boton estará todas sus opciones vomo jugadores como elegir cuanta stamina quieren gastar en cuantas zonas etc
[2026-05-15 22:55:30] USER:8734521592 | el boton de desactivar y activar guia emergente no reacciona asi q no se si esta desactivada o activada , además e hecho varias acciones ya en el juego y la guia emergente nunca sale asi q creo q se quedo bugueada o tiene algun error
[2026-05-15 23:07:53] USER:8734521592 | necesito que tanto la guia como la guia emergente actualizen todos los números en sus descripciones, como por ejemplo si yo edito el tiempo de la meditación ese tiempo tambien se tienen q actualizar a los valores q yo halla puesto
[2026-05-15 23:12:32] USER:8734521592 | necesito que actualizes el boton "comandos" q esta disponible en el menu desplegable en la ciudad y añadas las cosas nuevas del juego , tambien todos los números en sus descripciones, como por ejemplo si yo edito el tiempo de la meditación ese tiempo tambien se tienen q actualizar a los valores q yo halla puesto. Ozea quiero q también actualize sus valores de informacion y sean iguales a todo lo q yo edite en mi panel admin
[2026-05-15 23:16:19] USER:8734521592 | incrementa un sistema en el que yo como admin pueda usar el comando /guardar_reporte. , al usarlo escribiré un reporte igual a este q te estoy mandando a ti pero se guardará en un nuevo archivo py q se cree , y se quedará ahi asi yo podre verlo de manera offline, el comando debe responderme algo como q se guardo mi reporte satisfactoriamente.
[2026-05-15 23:18:39] USER:8734521592 | el menú desplegable no se actualiza cuando los jugadores normales cambian de zona , solo se me actualiza a mi como admin, y el boton nuevo de recolección automática en las zonas salvajes no responde
[2026-05-15 23:23:19] USER:8734521592 | añade a mi menú de admin boton para editar el tiempo de espera para salir de zona negra, zona roja, etc .
[2026-05-15 23:34:16] USER:8734521592 | en las zonas salvajes en el boton investigar hay un boton de buscar gentr para pvp mortal q yo no te dije q pusieras ahi, pero déjalo ahi y renombralo con otro nombre , esta nueva versión del boton hará q el jugador pueda buscar peleas pvp mortal en las 3 zonas de su facción al mismo tiempo asi podrá enfrentarse a otros jugadores q estén en el mismo color de zona q el siempre y cuando las zonas sean de la misma facción , este boton tiene un tiempo de espera de 2 minutos para volverse a usar y aumenta 20 segundos cada vez q se use , ten en cuenta q ya sera otro boton de búsqueda , no sera igual al normal q busca jugadores solo en la zona actual
[2026-05-15 23:35:12] USER:8734521592 | los botones de búsqueda de jugadores para pvp mortal dan error y dan error también cuando pinchas el boton del nombre del jugador , ozea q nunca empieza el combate
[2026-05-15 23:37:37] USER:8734521592 | el cooldown progresivo de la búsqueda de pvp multizonal se reinicia cada vez q el jugador lleva 10 minutos de inactividad sin tocar ningun comando del juego. Esto es solo para el modo progresivo de aumento de tiempo,
[2026-05-15 23:39:22] USER:8734521592 | En zona negra ahora tienes 2 botones: ⚔️ Emboscada local (solo tu zona) y 🌐 Caza multizonal (todas las zonas negras de tu faccion). La caza tiene cooldown de 2 min que sube 20s por uso. Estos 2 botones deben estar disponibles en todas las zonas de la amarilla a la negra[ no en la azul] y ambos deben estar disponibles en el menú desplegable por dios
[2026-05-15 23:43:47] USER:8734521592 | en los 2 modos de pvp la huida solo tiene un 10% de efectividad , y si el jugador no decide si pelear o huir se le aplicarán todas las penalizaciones que se aplican normalmente cuando un jugador muere en cada zona , y el asesino ganará todo lo q ganaba normalmente si lo hubiera matado
